"ABIA","ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"ABIA","Agric eggs medium size","459.977222222222","485.8095238095235","519.5652173913044","520.608695652174","559.655172413793","563.928571428571","520.9375","501.48148148148147","495.916666666667","510.38461538461536","502.1710344827586","507.8787878787879","425.0","627.241379310345","651.333333333333","693.171355498721","650.0","653.0","556.51282051282","505.923076923077","491.473684210526","490.55555555555554","500.206896551724","495.7894736842105","482.5","489.5238095238095","496.9230769230769","490.947368421053","501.470769230769","525.7142857142857","510.0","480.75","490.0","501.48148148148147","495.0","485.22","480.608695652174","475.380952380952","504.5","536.466666666667","546.6666666666666","520.117647058824","518.666666666667","538.181818181818",""
"ABIA","Agric eggs(medium size price of one)","45.1071428571429","44.51357466063345","46.4","48.148148148148145","47.74193548387097","48.4375","48.125","48.333333333333336","46.95652173913044","47.77777777777778","47.5","47.638888888888886","40.0","47.27272727272727","48.166666666666664","48.51851851851852","48.3939393939394","48.4363636363636","48.258888888889","48.10344827586207","46.5","45.0","48.857142857142854","49.04761904761905","46.35621","48.46153846153846","49.333333333333336","46.0909090909091","47.56049772144522","40.0","36.3666666666667","42.35","48.38709677419355","40.0","40.0","41.6283514","42.0","40.615327651","43.0","45.7","42.9","44.7826086956522","44.5","46.8636363636364",""
"ABIA","Beans brown,sold loose","471.22","436.7199999999995","415.625","394.14466130884045","474.19354838709677","465.89861751152074","458.3333333333333","489.0625","486.95652173913044","471.346153846154","470.5","471.428571428571","462.5496031746032","493.3333333333333","519.6428571428569","514.3990929705213","499.07834101382474","492.04545454545456","490.2173913043478","500.33577533577534","500.0","495.096702684541","475.33425103588337","487.5","489.5833333333333","497.6190476190476","475.0","480.51948051948057","509.882","480.935828877005","433.59375","369.69","381.4625850340136","333.41821428571427","340.0","340.18","307.208333333333","314.1304347826087","282.2916666666667","321.2","353.17460317460313","361.08843537415","360.05","371.42857142857144",""
"ABIA","Beans:white black eye. sold loose","420.764285714286","375.090497737556","400.2415458937198","391.8724279835391","470.3125","466.7487684729064","463.7931034482759","484.375","468.57142857142856","457.142857142857","445.48275862069","435.135135135135","462.12370005473457","484.375","495.81280788177315","498.416666666666","488.50446428571416","473.7577639751552","450.046511627907","485.42328042328","483.3333333333333","487.205896998522","457.43449994702104","480.1587301587302","482.77027027027026","486.0","462.1428571428571","464.422077922078","472.4603333333334","453.4375","420.7142857142857","389.68","385.97883597883606","406.4561538461539","411.82","387.25","301.9230769230769","295.8695652173913","269.7916666666667","303.3333333333333","327.407407407407","333.76623376623377","334.416267942584","345.304347826087",""
"ABIA","Beef Bone in","1107.67083333333","955.094825174825","981.2577766695412","969.9678628250058","996.4927454785468","990.955056588909","950.2303929738863","1050.8075","996.219093032349","1046.7547942253825","955.8","973.1332304711326","986.1752852501626","986.7049560761529","930.7641141424702","904.1867954911432","920.6867610751312","1060.8530077089918","986.361083954667","1053.4313986525","1028.4467659821369","980.0","980.4899999999999","990.6010377952339","987.675156265604","898.166028681239","903.454892814798","976.53755504915","988.6425","992.4505673354778","1016.44036832007","987.91","995.69088319088","1010.54578947368","1045.45","1081.7","1008.27391562686","1028.78950798306","1089.855072463768","1104.52631578947","1153.85964912281","1122.00383141762","1123.01587301587","1073.290518947048",""
"ABIA","Beef,boneless","1378.3958333333335","1304.71729166666","1129.160795980018","1362.469615635856","1499.91374279634","1353.12320769554","1356.7950547517373","1407.55964285714","1481.51180542485","1477.19568039141","1368.43269230769","1331.1058400192521","1456.9914872146105","1389.92969094184","1425.1398988696137","1413.37204339328","1404.569132558263","1398.03337808313","1347.956937068087","1400.35812171128","1402.1295663400927","1409.1402141717929","1395.0","1460.2809865740899","1421.6073463442522","1433.8788690440883","1404.93655184657","1397.2576599870717","1404.3020689655173","1385.33779996449","1350.86389305139","1352.75","1373.6594637855142","1422.66666666667","1432.1","1488.82","1483.0842878461926","1485.30065395927","1419.19234975501","1473.900985891936","1507.38298738299","1489.94829415882","1491.9441669441674","1504.47724663299",""
"ABIA","Bread sliced 500g","334.2578571428571","340.2777777777775","340.0","340.769230769231","371.05263157894734","353.888888888889","368.75","340.0","338.571428571429","364.70588235294116","367.6470588235294","354.210526315789","365.0","395.29411764705884","356.6666666666667","370.625","376.9230769230769","358.3333333333333","365.38461538461536","358.8235294117647","306.6666666666667","315.882352941176","345.45454545454544","350.0","372.0","392.85714285714283","395.2146587","393.3333333333333","406.6666666666667","407.5","375.29411764705884","380.0","383.3333333333333","422.72727272727275","377.78","390.0","376.47058823529414","382.14285714285717","370.0","380.31426","382.58312","386.25","388.461538461538","353.57142857142856",""
"ABIA","Bread unsliced 500g","291.79166666666663","289.1666666666665","286.3636363636364","304.1666666666667","275.0","275.88235294117646","281.25","345.625","343.846153846154","347.22222222222223","345.0","329.54545454545456","347.05882352941177","359.44444444444446","320.555555555556","334.705882352941","300.0","297.5","288.46153846153845","269.44444444444446","266.6666666666667","258.8235294117647","255.55555555555554","261.53846153846155","282.6923076923077","305.0","307.4825396","326.666666666667","335.0","322.5","331.25","332.12","332.0","350.0","352.94","360.63","329.411764705882","332.3529411764706","326.6666666666667","338.8888888888889","340.417582","323.411764705882","357.6923076923077","316.6666666666667",""
"ABIA","Broken Rice (Ofada)","472.0","450.0","462.645","465.0","520.0","486.99","503.495","490.84","490.8792672","495.78","495.98","495.325","500.2134","500.6135707199999","500.9640002195039","485.636363636364","486.0734363636367","464.545454545455","464.8706363636368","415.636363636364","403.636363636364","405.6545454545458","417.5","419.25343","424.444444444444","424.78399999999954","430.27437","427.272727272727","426.69388542929266","415.0326","402.64","405.05584","410.0","420.2","500.746289","503.75076673399997","500.818181818182","501.06859090909103","515.0","519.635","522.233175","525.3665740499999","532.624175","535.2872958749999",""
"ABIA","Chicken Feet","774.76","731.25","735.71428571429","777.7777777777777","779.04761904762","780.0","855.5555555555557","875.55666666667","865.564387917329","798.8461538461538","796.8","758.9852","765.33333333333","722.22222222222","685.7142857142857","695.12541","681.25","688.461538461538","696.731078904992","705.2654","762.5","695.0","662.5","684.52380952381","690.90196078431","705.555555555556","716.666666666667","715.71428571429","707.2096171802057","692.19843","650.0","645.2518642","600.0","650.73596","675.0","680.0214673","680.5531276","710.42857142857","700.0","750.0","751.631849","810.0","815.14285714286","912.96296296296",""
